impl,dataset,platform,fft_size,batch_size,num_threads,h2d_ms,kernel_ms,d2h_ms,total_wall_ms,gflops,bandwidth_gbs
own_cpu,dns,p100,256,1048576,16,0,438.083,0,438.083,24.51,9.804
mkl,dns,p100,256,1048576,16,0,73.1901,0,73.1901,146.706,58.6823
own_gpu,dns,p100,256,1048576,0,246.076,18.9007,281.429,546.406,568.096,227.238
cufft,dns,p100,256,1048576,0,246.008,10.6033,281.251,537.863,1012.65,405.06
own_cpu,dns,p100,512,524288,16,0,490.81,0,490.81,24.6115,8.75077
mkl,dns,p100,512,524288,16,0,73.2516,0,73.2516,164.906,58.6331
own_gpu,dns,p100,512,524288,0,243.993,21.3982,277.799,543.19,564.515,200.716
cufft,dns,p100,512,524288,0,243.949,10.6432,277.616,532.208,1134.96,403.542
own_cpu,dns,p100,1024,262144,16,0,542.824,0,542.824,24.7258,7.91227
mkl,dns,p100,1024,262144,16,0,74.2218,0,74.2218,180.833,57.8666
own_gpu,dns,p100,1024,262144,0,243.931,24.2338,277.83,545.995,553.845,177.23
cufft,dns,p100,1024,262144,0,243.89,10.644,277.788,532.322,1260.98,403.512
