impl,dataset,platform,fft_size,batch_size,num_threads,h2d_ms,kernel_ms,d2h_ms,total_wall_ms,gflops,bandwidth_gbs
own_cpu,oracle,p100,512,156300,16,0,145.815,0,145.815,24.6968,8.78108
mkl,oracle,p100,512,156300,16,0,21.3059,0,21.3059,169.022,60.0966
own_gpu,oracle,p100,512,156300,0,72.0899,6.38635,81.8341,160.31,563.882,200.492
cufft,oracle,p100,512,156300,0,72.0793,3.1776,81.9,157.157,1133.29,402.949
own_cpu,oracle,p100,1024,78150,16,0,162.466,0,162.466,24.6284,7.88109
mkl,oracle,p100,1024,78150,16,0,22.3093,0,22.3093,179.355,57.3935
own_gpu,oracle,p100,1024,78150,0,72.2249,7.23774,81.8964,161.359,552.835,176.907
cufft,oracle,p100,1024,78150,0,72.2684,3.18318,81.864,157.316,1257.01,402.242
own_cpu,oracle,p100,2048,39075,16,0,178.176,0,178.176,24.7026,7.18622
mkl,oracle,p100,2048,39075,16,0,22.5663,0,22.5663,195.043,56.7398
own_gpu,oracle,p100,2048,39075,0,72.2429,8.48174,81.8689,162.594,518.927,150.961
cufft,oracle,p100,2048,39075,0,72.1871,3.18906,81.891,157.267,1380.16,401.501
