impl,dataset,platform,fft_size,batch_size,num_threads,h2d_ms,kernel_ms,d2h_ms,total_wall_ms,gflops,bandwidth_gbs
own_cpu,synthetic,p100,128,262144,16,0,47.1135,0,47.1135,24.9271,11.3953
mkl,synthetic,p100,128,262144,16,0,8.54428,0,8.54428,137.449,62.834
own_gpu,synthetic,p100,128,262144,0,30.473,2.30237,35.4446,68.2199,510.086,233.182
cufft,synthetic,p100,128,262144,0,30.4549,1.33472,35.4591,67.2488,879.889,402.235
own_cpu,synthetic,p100,256,131072,16,0,55.286,0,55.286,24.277,9.71079
mkl,synthetic,p100,256,131072,16,0,9.30209,0,9.30209,144.288,57.7151
own_gpu,synthetic,p100,256,131072,0,30.4684,2.3732,35.4397,68.2813,565.556,226.222
cufft,synthetic,p100,256,131072,0,30.459,1.33606,35.4384,67.2335,1004.58,401.83
own_cpu,synthetic,p100,512,65536,16,0,61.5855,0,61.5855,24.5179,8.71748
mkl,synthetic,p100,512,65536,16,0,9.33601,0,9.33601,161.734,57.5054
own_gpu,synthetic,p100,512,65536,0,30.4627,2.68666,35.4512,68.6005,562.018,199.829
cufft,synthetic,p100,512,65536,0,30.4517,1.34077,35.4756,67.2681,1126.18,400.42
own_cpu,synthetic,p100,1024,32768,16,0,68.1975,0,68.1975,24.6009,7.87229
mkl,synthetic,p100,1024,32768,16,0,9.43702,0,9.43702,177.781,56.8899
own_gpu,synthetic,p100,1024,32768,0,30.4506,3.04368,35.4512,68.9455,551.215,176.389
cufft,synthetic,p100,1024,32768,0,30.4536,1.33813,35.4274,67.2191,1253.78,401.21
own_cpu,synthetic,p100,2048,16384,16,0,74.8187,0,74.8187,24.6662,7.17563
mkl,synthetic,p100,2048,16384,16,0,9.53076,0,9.53076,193.636,56.3303
own_gpu,synthetic,p100,2048,16384,0,30.4541,3.56525,35.4805,69.4998,517.634,150.584
cufft,synthetic,p100,2048,16384,0,30.4478,1.3456,35.4355,67.2289,1371.5,398.983
own_cpu,synthetic,p100,4096,8192,16,0,82.1479,0,82.1479,24.5078,6.53542
mkl,synthetic,p100,4096,8192,16,0,10.0087,0,10.0087,201.151,53.6403
own_gpu,synthetic,p100,4096,8192,0,30.4763,19.3604,35.4209,85.2576,103.989,27.7304
cufft,synthetic,p100,4096,8192,0,30.467,1.34637,35.4413,67.2547,1495.33,398.755
own_cpu,synthetic,p100,8192,4096,16,0,90.9403,0,90.9403,23.9832,5.90356
mkl,synthetic,p100,8192,4096,16,0,10.4485,0,10.4485,208.742,51.3828
own_gpu,synthetic,p100,8192,4096,0,30.4796,20.7416,35.4496,86.6708,105.153,25.8838
cufft,synthetic,p100,8192,4096,0,30.4585,1.35283,35.4579,67.2692,1612.2,396.85
own_cpu,synthetic,p100,16384,2048,16,0,101.26,0,101.26,23.1958,5.30189
mkl,synthetic,p100,16384,2048,16,0,14.66,0,14.66,160.219,36.6215
own_gpu,synthetic,p100,16384,2048,0,30.4492,22.1043,35.4544,88.0079,106.26,24.2881
cufft,synthetic,p100,16384,2048,0,30.4623,2.85037,35.405,68.7176,824.038,188.351
own_cpu,synthetic,p100,32768,1024,16,0,110.382,0,110.382,22.7987,4.86373
mkl,synthetic,p100,32768,1024,16,0,15.3535,0,15.3535,163.91,34.9674
own_gpu,synthetic,p100,32768,1024,0,30.4493,23.459,35.4715,89.3798,107.276,22.8855
cufft,synthetic,p100,32768,1024,0,30.4331,2.85362,35.47,68.7567,881.892,188.137
own_cpu,synthetic,p100,65536,512,16,0,123.246,0,123.246,21.7805,4.35609
mkl,synthetic,p100,65536,512,16,0,15.8287,0,15.8287,169.588,33.9176
own_gpu,synthetic,p100,65536,512,0,30.4773,24.9318,35.4505,90.8596,107.668,21.5336
cufft,synthetic,p100,65536,512,0,30.4449,2.87064,35.4203,68.7359,935.107,187.021
own_cpu,synthetic,p100,131072,256,16,0,134.137,0,134.137,21.2628,4.00242
mkl,synthetic,p100,131072,256,16,0,18.426,0,18.426,154.789,29.1367
own_gpu,synthetic,p100,131072,256,0,30.4715,26.658,35.4578,92.5873,106.99,20.1392
cufft,synthetic,p100,131072,256,0,30.4675,2.89037,35.4817,68.8396,986.769,185.745
own_cpu,synthetic,p100,262144,128,16,0,141.057,0,141.057,21.4091,3.80607
mkl,synthetic,p100,262144,128,16,0,33.952,0,33.952,88.946,15.8126
own_gpu,synthetic,p100,262144,128,0,30.4698,28.3773,35.4428,94.2898,106.419,18.919
cufft,synthetic,p100,262144,128,0,30.4436,3.26088,35.4074,69.1119,926.099,164.64
own_cpu,synthetic,p100,524288,64,16,0,151.689,0,151.689,21.0145,3.53928
mkl,synthetic,p100,524288,64,16,0,32.1365,0,32.1365,99.1916,16.706
own_gpu,synthetic,p100,524288,64,0,30.4378,33.6222,35.4526,99.5126,94.8085,15.9677
cufft,synthetic,p100,524288,64,0,30.4552,3.49115,35.4528,69.3991,913.071,153.78
own_cpu,synthetic,p100,1048576,64,16,0,631.714,0,631.714,10.6233,1.69973
mkl,synthetic,p100,1048576,64,16,0,65.5148,0,65.5148,102.433,16.3893
own_gpu,synthetic,p100,1048576,64,0,60.7297,77.8441,70.8715,209.445,86.2093,13.7935
cufft,synthetic,p100,1048576,64,0,60.7125,7.09416,70.8118,138.618,945.973,151.356
