impl,dataset,platform,fft_size,batch_size,num_threads,h2d_ms,kernel_ms,d2h_ms,total_wall_ms,gflops,bandwidth_gbs
own_cpu,dns,v100,256,1048576,16,0,323.547,0,323.547,33.1866,13.2746
mkl,dns,v100,256,1048576,16,0,59.463,0,59.463,180.573,72.2292
own_gpu,dns,v100,256,1048576,0,260.135,7.26539,398.031,665.432,1477.89,591.154
cufft,dns,v100,256,1048576,0,254.356,5.26358,451.992,711.611,2039.94,815.978
own_cpu,dns,v100,512,524288,16,0,355.127,0,355.127,34.0148,12.0942
mkl,dns,v100,512,524288,16,0,67.2612,0,67.2612,179.592,63.8551
own_gpu,dns,v100,512,524288,0,242.618,7.56053,448.341,698.519,1597.72,568.078
cufft,dns,v100,512,524288,0,242.646,5.27381,445.278,693.197,2290.49,814.396
own_cpu,dns,v100,1024,262144,16,0,388.599,0,388.599,34.5389,11.0525
mkl,dns,v100,1024,262144,16,0,69.6797,0,69.6797,192.621,61.6387
own_gpu,dns,v100,1024,262144,0,240.087,8.5428,445.775,694.405,1571.12,502.759
cufft,dns,v100,1024,262144,0,240.057,5.2785,445.472,690.807,2542.73,813.673
