impl,dataset,platform,fft_size,batch_size,num_threads,h2d_ms,kernel_ms,d2h_ms,total_wall_ms,gflops,bandwidth_gbs
own_cpu,oracle,v100,512,156300,16,0,105.862,0,105.862,34.0174,12.0951
mkl,oracle,v100,512,156300,16,0,20.2084,0,20.2084,178.2,63.3602
own_gpu,oracle,v100,512,156300,0,101.729,2.26678,143.846,247.842,1588.66,564.857
cufft,oracle,v100,512,156300,0,92.9345,1.5827,144.039,238.556,2275.32,809.001
own_cpu,oracle,v100,1024,78150,16,0,116.4,0,116.4,34.3753,11.0001
mkl,oracle,v100,1024,78150,16,0,17.7503,0,17.7503,225.421,72.1347
own_gpu,oracle,v100,1024,78150,0,74.8112,2.5599,144.062,221.434,1563.06,500.179
cufft,oracle,v100,1024,78150,0,74.7975,1.58109,143.985,220.363,2530.71,809.828
own_cpu,oracle,v100,2048,39075,16,0,127.15,0,127.15,34.6159,10.0701
mkl,oracle,v100,2048,39075,16,0,18.489,0,18.489,238.056,69.2526
own_gpu,oracle,v100,2048,39075,0,75.3078,3.2476,144.129,222.685,1355.28,394.263
cufft,oracle,v100,2048,39075,0,75.3452,1.57534,144.095,221.015,2793.93,812.781
