impl,dataset,platform,fft_size,batch_size,num_threads,h2d_ms,kernel_ms,d2h_ms,total_wall_ms,gflops,bandwidth_gbs
own_cpu,synthetic,v100,128,262144,16,0,34.1485,0,34.1485,34.3911,15.7216
mkl,synthetic,v100,128,262144,16,0,5.84923,0,5.84923,200.78,91.7849
own_gpu,synthetic,v100,128,262144,0,55.7955,0.911792,55.4898,112.197,1288.02,588.809
cufft,synthetic,v100,128,262144,0,55.8104,0.670816,55.4888,111.97,1750.71,800.325
own_cpu,synthetic,v100,256,131072,16,0,40.5816,0,40.5816,33.0735,13.2294
mkl,synthetic,v100,256,131072,16,0,6.70383,0,6.70383,200.21,80.0842
own_gpu,synthetic,v100,256,131072,0,55.3892,1.0435,55.5947,112.027,1286.22,514.489
cufft,synthetic,v100,256,131072,0,55.5052,0.669024,55.5977,111.772,2006.17,802.469
own_cpu,synthetic,v100,512,65536,16,0,44.4925,0,44.4925,33.9371,12.0665
mkl,synthetic,v100,512,65536,16,0,7.84427,0,7.84427,192.491,68.4412
own_gpu,synthetic,v100,512,65536,0,55.4208,1.04907,55.6182,112.088,1439.32,511.758
cufft,synthetic,v100,512,65536,0,55.5186,0.673632,55.6272,111.82,2241.5,796.98
own_cpu,synthetic,v100,1024,32768,16,0,48.7577,0,48.7577,34.4094,11.011
mkl,synthetic,v100,1024,32768,16,0,7.29882,0,7.29882,229.862,73.5559
own_gpu,synthetic,v100,1024,32768,0,55.433,1.14242,55.6386,112.214,1468.57,469.943
cufft,synthetic,v100,1024,32768,0,55.498,0.673888,55.5937,111.766,2489.61,796.677
own_cpu,synthetic,v100,2048,16384,16,0,53.1861,0,53.1861,34.6988,10.0942
mkl,synthetic,v100,2048,16384,16,0,7.77949,0,7.77949,237.226,69.0111
own_gpu,synthetic,v100,2048,16384,0,55.4331,1.37331,55.6094,112.416,1343.83,390.931
cufft,synthetic,v100,2048,16384,0,55.5725,0.671984,55.6204,111.865,2746.34,798.934
own_cpu,synthetic,v100,4096,8192,16,0,58.5173,0,58.5173,34.4046,9.17456
mkl,synthetic,v100,4096,8192,16,0,7.77393,0,7.77393,258.977,69.0605
own_gpu,synthetic,v100,4096,8192,0,55.9424,9.11453,55.8979,120.955,220.885,58.9028
cufft,synthetic,v100,4096,8192,0,55.8195,0.681776,55.7823,112.284,2952.97,787.459
own_cpu,synthetic,v100,8192,4096,16,0,65.3145,0,65.3145,33.3929,8.21979
mkl,synthetic,v100,8192,4096,16,0,7.53708,0,7.53708,289.374,71.2306
own_gpu,synthetic,v100,8192,4096,0,55.5673,9.76266,55.6268,120.957,223.406,54.9923
cufft,synthetic,v100,8192,4096,0,55.5013,0.689456,55.6212,111.812,3163.42,778.688
own_cpu,synthetic,v100,16384,2048,16,0,72.1259,0,72.1259,32.5654,7.44352
mkl,synthetic,v100,16384,2048,16,0,7.0471,0,7.0471,333.302,76.1833
own_gpu,synthetic,v100,16384,2048,0,55.641,10.428,55.6681,121.737,225.241,51.4836
cufft,synthetic,v100,16384,2048,0,55.5555,0.816976,55.6268,111.999,2875.01,657.144
own_cpu,synthetic,v100,32768,1024,16,0,77.9784,0,77.9784,32.2728,6.88487
mkl,synthetic,v100,32768,1024,16,0,10.184,0,10.184,247.111,52.7171
own_gpu,synthetic,v100,32768,1024,0,42.7368,11.0738,35.9098,89.7204,227.256,48.4814
cufft,synthetic,v100,32768,1024,0,42.6375,1.36349,60.6964,104.697,1845.69,393.748
own_cpu,synthetic,v100,65536,512,16,0,86.4542,0,86.4542,31.0494,6.20988
mkl,synthetic,v100,65536,512,16,0,16.03,0,16.03,167.458,33.4917
own_gpu,synthetic,v100,65536,512,0,30.7662,11.7628,61.0216,103.551,228.207,45.6415
cufft,synthetic,v100,65536,512,0,30.7943,1.37354,60.996,93.1639,1954.34,390.868
own_cpu,synthetic,v100,131072,256,16,0,92.2449,0,92.2449,30.9191,5.82006
mkl,synthetic,v100,131072,256,16,0,33.4335,0,33.4335,85.3073,16.0579
own_gpu,synthetic,v100,131072,256,0,30.8574,12.6425,61.467,104.967,225.598,42.4656
cufft,synthetic,v100,131072,256,0,30.8362,1.37834,61.4872,93.7017,2069.25,389.507
own_cpu,synthetic,v100,262144,128,16,0,101.081,0,101.081,29.8762,5.31132
mkl,synthetic,v100,262144,128,16,0,32.3381,0,32.3381,93.385,16.6018
own_gpu,synthetic,v100,262144,128,0,30.8146,13.252,61.252,105.319,227.882,40.5123
cufft,synthetic,v100,262144,128,0,30.7614,1.39198,61.184,93.3373,2169.49,385.688
own_cpu,synthetic,v100,524288,64,16,0,127.931,0,127.931,24.9171,4.19656
mkl,synthetic,v100,524288,64,16,0,29.3396,0,29.3396,108.648,18.2985
own_gpu,synthetic,v100,524288,64,0,30.715,14.1502,60.5056,105.371,225.274,37.9408
cufft,synthetic,v100,524288,64,0,30.6176,1.38933,60.352,92.359,2294.4,386.425
own_cpu,synthetic,v100,1048576,64,16,0,312.266,0,312.266,21.491,3.43855
mkl,synthetic,v100,1048576,64,16,0,66.8717,0,66.8717,100.355,16.0567
own_gpu,synthetic,v100,1048576,64,0,61.7732,33.7601,108.988,204.521,198.781,31.805
cufft,synthetic,v100,1048576,64,0,61.7395,3.02157,108.958,173.719,2220.99,355.359
