impl,dataset,platform,fft_size,batch_size,num_threads,h2d_ms,kernel_ms,d2h_ms,total_wall_ms,gflops,bandwidth_gbs
own_cpu,synthetic,p100,1024,1,16,0,0.03368,0,0.03368,1.52019,0.486461
mkl,synthetic,p100,1024,1,16,0,0.001299,0,0.001299,39.4149,12.6128
own_gpu,synthetic,p100,1024,1,0,0.006944,0.012224,0.01296,0.032128,4.18848,1.34031
own_cpu,synthetic,p100,1024,2,16,0,0.03563,0,0.03563,2.87398,0.919674
mkl,synthetic,p100,1024,2,16,0,0.002984,0,0.002984,34.3164,10.9812
own_gpu,synthetic,p100,1024,2,0,0.01112,0.01224,0.015168,0.038528,8.36601,2.67712
cufft,synthetic,p100,1024,2,0,0.011104,0.008512,0.015168,0.034784,12.0301,3.84962
own_cpu,synthetic,p100,1024,4,16,0,0.103744,0,0.103744,1.97409,0.631709
mkl,synthetic,p100,1024,4,16,0,0.012168,0,0.012168,16.831,5.38593
own_gpu,synthetic,p100,1024,4,0,0.017248,0.012304,0.021456,0.051008,16.645,5.3264
cufft,synthetic,p100,1024,4,0,0.016912,0.008528,0.01744,0.04288,24.015,7.6848
own_cpu,synthetic,p100,1024,8,16,0,0.076589,0,0.076589,5.34803,1.71137
mkl,synthetic,p100,1024,8,16,0,0.0099195,0,0.0099195,41.2924,13.2136
own_gpu,synthetic,p100,1024,8,0,0.028992,0.012384,0.023808,0.065184,33.0749,10.584
cufft,synthetic,p100,1024,8,0,0.029056,0.008448,0.02856,0.066064,48.4848,15.5152
own_cpu,synthetic,p100,1024,16,16,0,0.11433,0,0.11433,7.16525,2.29288
mkl,synthetic,p100,1024,16,16,0,0.018707,0,0.018707,43.7911,14.0132
own_gpu,synthetic,p100,1024,16,0,0.02672,0.01376,0.03856,0.07904,59.5349,19.0512
cufft,synthetic,p100,1024,16,0,0.026,0.009952,0.040688,0.07664,82.3151,26.3408
own_cpu,synthetic,p100,1024,32,16,0,0.282338,0,0.282338,5.80297,1.85695
mkl,synthetic,p100,1024,32,16,0,0.0285735,0,0.0285735,57.3398,18.3487
own_gpu,synthetic,p100,1024,32,0,0.046384,0.017072,0.069968,0.133424,95.97,30.7104
cufft,synthetic,p100,1024,32,0,0.046176,0.013024,0.073008,0.132208,125.799,40.2555
own_cpu,synthetic,p100,1024,64,16,0,0.526426,0,0.526426,6.22461,1.99188
mkl,synthetic,p100,1024,64,16,0,0.0344405,0,0.0344405,95.1438,30.446
own_gpu,synthetic,p100,1024,64,0,0.085408,0.024864,0.13136,0.241632,131.789,42.1725
cufft,synthetic,p100,1024,64,0,0.085504,0.01704,0.130784,0.233328,192.3,61.5361
