impl,dataset,platform,fft_size,batch_size,num_threads,h2d_ms,kernel_ms,d2h_ms,total_wall_ms,gflops,bandwidth_gbs
own_cpu,synthetic,v100,1024,1,16,0,0.024037,0,0.024037,2.13005,0.681616
mkl,synthetic,v100,1024,1,16,0,0.000864,0,0.000864,59.2593,18.963
own_gpu,synthetic,v100,1024,1,0,0.007472,0.009216,0.012704,0.029392,5.55556,1.77778
own_cpu,synthetic,v100,1024,2,16,0,0.0270465,0,0.0270465,3.78607,1.21154
mkl,synthetic,v100,1024,2,16,0,0.003408,0,0.003408,30.0469,9.61502
own_gpu,synthetic,v100,1024,2,0,0.011424,0.009216,0.015168,0.035808,11.1111,3.55556
cufft,synthetic,v100,1024,2,0,0.0108,0.007168,0.014784,0.032752,14.2857,4.57143
own_cpu,synthetic,v100,1024,4,16,0,0.0799035,0,0.0799035,2.56309,0.820189
mkl,synthetic,v100,1024,4,16,0,0.014604,0,0.014604,14.0236,4.48754
own_gpu,synthetic,v100,1024,4,0,0.017872,0.009216,0.025568,0.052656,22.2222,7.11111
cufft,synthetic,v100,1024,4,0,0.017184,0.007168,0.01832,0.042672,28.5714,9.14286
own_cpu,synthetic,v100,1024,8,16,0,0.0865775,0,0.0865775,4.73102,1.51393
mkl,synthetic,v100,1024,8,16,0,0.02007,0,0.02007,20.4086,6.53074
own_gpu,synthetic,v100,1024,8,0,0.030144,0.009216,0.030736,0.070096,44.4444,14.2222
cufft,synthetic,v100,1024,8,0,0.030016,0.007168,0.032784,0.069968,57.1429,18.2857
own_cpu,synthetic,v100,1024,16,16,0,0.128733,0,0.128733,6.36356,2.03634
mkl,synthetic,v100,1024,16,16,0,0.052715,0,0.052715,15.5402,4.97285
own_gpu,synthetic,v100,1024,16,0,0.04032,0.01064,0.052688,0.103648,76.9925,24.6376
cufft,synthetic,v100,1024,16,0,0.040224,0.008096,0.046896,0.095216,101.186,32.3794
own_cpu,synthetic,v100,1024,32,16,0,0.164221,0,0.164221,9.9768,3.19258
mkl,synthetic,v100,1024,32,16,0,0.0463665,0,0.0463665,35.3359,11.3075
own_gpu,synthetic,v100,1024,32,0,0.074272,0.018352,0.089312,0.181936,89.2764,28.5684
cufft,synthetic,v100,1024,32,0,0.07424,0.01496,0.083648,0.172848,109.519,35.046
own_cpu,synthetic,v100,1024,64,16,0,0.441415,0,0.441415,7.42339,2.37549
mkl,synthetic,v100,1024,64,16,0,0.056372,0,0.056372,58.1281,18.601
own_gpu,synthetic,v100,1024,64,0,0.14496,0.016752,0.162704,0.324416,195.606,62.5941
cufft,synthetic,v100,1024,64,0,0.14504,0.014992,0.164448,0.32448,218.57,69.9424
own_cpu,synthetic,v100,1024,128,16,0,0.588769,0,0.588769,11.131,3.56193
mkl,synthetic,v100,1024,128,16,0,0.056104,0,0.056104,116.812,37.3797
own_gpu,synthetic,v100,1024,128,0,0.285056,0.015728,0.304112,0.604896,416.684,133.339
cufft,synthetic,v100,1024,128,0,0.2852,0.0112,0.308176,0.604576,585.143,187.246
own_cpu,synthetic,v100,1024,256,16,0,1.12741,0,1.12741,11.626,3.72031
mkl,synthetic,v100,1024,256,16,0,0.0416825,0,0.0416825,314.453,100.625
own_gpu,synthetic,v100,1024,256,0,0.48264,0.024544,0.546176,1.05336,534.029,170.889
cufft,synthetic,v100,1024,256,0,0.485952,0.015536,0.545616,1.0471,843.666,269.973
own_cpu,synthetic,v100,1024,512,16,0,1.50124,0,1.50124,17.4618,5.58777
mkl,synthetic,v100,1024,512,16,0,0.075778,0,0.075778,345.937,110.7
own_gpu,synthetic,v100,1024,512,0,0.881872,0.034176,1.00549,1.92154,767.041,245.453
cufft,synthetic,v100,1024,512,0,0.882128,0.01808,1.00211,1.90232,1449.91,463.972
own_cpu,synthetic,v100,1024,1024,16,0,2.9957,0,2.9957,17.5013,5.60043
mkl,synthetic,v100,1024,1024,16,0,0.0735235,0,0.0735235,713.089,228.188
own_gpu,synthetic,v100,1024,1024,0,1.67093,0.058016,1.9131,3.64205,903.696,289.183
cufft,synthetic,v100,1024,1024,0,1.67218,0.030048,1.9104,3.61262,1744.83,558.347
own_cpu,synthetic,v100,1024,2048,16,0,3.0734,0,3.0734,34.1178,10.9177
mkl,synthetic,v100,1024,2048,16,0,0.18357,0,0.18357,571.213,182.788
own_gpu,synthetic,v100,1024,2048,0,3.37942,0.09424,3.74051,7.21418,1112.67,356.053
cufft,synthetic,v100,1024,2048,0,3.35522,0.05344,3.73882,7.14747,1962.16,627.89
own_cpu,synthetic,v100,1024,4096,16,0,6.13289,0,6.13289,34.1952,10.9425
mkl,synthetic,v100,1024,4096,16,0,0.698697,0,0.698697,300.152,96.0486
own_gpu,synthetic,v100,1024,4096,0,7.43336,0.173424,7.44883,15.0556,1209.26,386.964
cufft,synthetic,v100,1024,4096,0,7.41718,0.097408,7.44219,14.9568,2152.96,688.946
own_cpu,synthetic,v100,1024,8192,16,0,12.2813,0,12.2813,34.1519,10.9286
mkl,synthetic,v100,1024,8192,16,0,1.64988,0,1.64988,254.218,81.3499
own_gpu,synthetic,v100,1024,8192,0,15.1816,0.328464,14.8172,30.3273,1276.94,408.622
cufft,synthetic,v100,1024,8192,0,15.0576,0.180848,14.8151,30.0536,2319.24,742.158
own_cpu,synthetic,v100,1024,16384,16,0,24.4468,0,24.4468,34.3137,10.9804
mkl,synthetic,v100,1024,16384,16,0,3.52292,0,3.52292,238.115,76.1969
own_gpu,synthetic,v100,1024,16384,0,30.3267,0.639904,29.5346,60.5012,1310.92,419.493
cufft,synthetic,v100,1024,16384,0,30.3629,0.341248,29.5079,60.212,2458.21,786.629
own_cpu,synthetic,v100,1024,32768,16,0,48.8069,0,48.8069,34.3747,10.9999
mkl,synthetic,v100,1024,32768,16,0,7.70199,0,7.70199,217.83,69.7054
own_gpu,synthetic,v100,1024,32768,0,30.5551,1.08608,28.6637,60.3049,1544.75,494.32
cufft,synthetic,v100,1024,32768,0,30.5059,0.670112,56.2737,87.4497,2503.64,801.166
own_cpu,synthetic,v100,1024,65536,16,0,97.0034,0,97.0034,34.591,11.0691
mkl,synthetic,v100,1024,65536,16,0,14.7953,0,14.7953,226.791,72.5732
own_gpu,synthetic,v100,1024,65536,0,57.5793,2.14656,110.7,170.426,1563.17,500.215
cufft,synthetic,v100,1024,65536,0,57.5931,1.3304,110.659,169.582,2522.13,807.082
own_cpu,synthetic,v100,1024,131072,16,0,194.585,0,194.585,34.4881,11.0362
mkl,synthetic,v100,1024,131072,16,0,29.7817,0,29.7817,225.336,72.1075
own_gpu,synthetic,v100,1024,131072,0,115.502,4.28301,221.254,341.039,1566.86,501.396
cufft,synthetic,v100,1024,131072,0,115.361,2.64392,221.176,339.18,2538.23,812.235
own_cpu,synthetic,v100,1024,262144,16,0,388.17,0,388.17,34.577,11.0646
mkl,synthetic,v100,1024,262144,16,0,66.1469,0,66.1469,202.909,64.9307
own_gpu,synthetic,v100,1024,262144,0,231.716,8.54285,442.77,683.029,1571.11,502.756
cufft,synthetic,v100,1024,262144,0,232.122,5.27382,442.484,679.88,2544.98,814.393
own_cpu,synthetic,v100,1024,524288,16,0,779.832,0,779.832,34.4222,11.0151
