impl,dataset,platform,fft_size,batch_size,num_threads,h2d_ms,kernel_ms,d2h_ms,total_wall_ms,gflops,bandwidth_gbs
own_cpu,synthetic_strong,p100,1024,524288,1,0,17058.6,0,17058.6,1.57361,0.503555
mkl,synthetic_strong,p100,1024,524288,1,0,1514.09,0,1514.09,17.7292,5.67334
own_cpu,synthetic_weak,p100,1024,32768,1,0,1067.05,0,1067.05,1.5723,0.503136
mkl,synthetic_weak,p100,1024,32768,1,0,94.4,0,94.4,17.7725,5.68719
own_cpu,synthetic_strong,p100,1024,524288,2,0,8517.81,0,8517.81,3.15146,1.00847
mkl,synthetic_strong,p100,1024,524288,2,0,788.364,0,788.364,34.0497,10.8959
own_cpu,synthetic_weak,p100,1024,65536,2,0,1064.33,0,1064.33,3.15263,1.00884
mkl,synthetic_weak,p100,1024,65536,2,0,99.6496,0,99.6496,33.6724,10.7752
own_cpu,synthetic_strong,p100,1024,524288,4,0,4303.47,0,4303.47,6.23765,1.99605
mkl,synthetic_strong,p100,1024,524288,4,0,449.716,0,449.716,59.6899,19.1008
own_cpu,synthetic_weak,p100,1024,131072,4,0,1084.92,0,1084.92,6.18559,1.97939
mkl,synthetic_weak,p100,1024,131072,4,0,113.992,0,113.992,58.8717,18.839
own_cpu,synthetic_strong,p100,1024,524288,8,0,2171.26,0,2171.26,12.3631,3.95621
mkl,synthetic_strong,p100,1024,524288,8,0,232.983,0,232.983,115.217,36.8694
own_cpu,synthetic_weak,p100,1024,262144,8,0,1084.15,0,1084.15,12.38,3.96159
mkl,synthetic_weak,p100,1024,262144,8,0,117.034,0,117.034,114.683,36.6984
own_cpu,synthetic_strong,p100,1024,524288,16,0,1089.56,0,1089.56,24.6371,7.88387
mkl,synthetic_strong,p100,1024,524288,16,0,148.74,0,148.74,180.473,57.7512
own_cpu,synthetic_weak,p100,1024,524288,16,0,1082.89,0,1082.89,24.7889,7.93243
mkl,synthetic_weak,p100,1024,524288,16,0,148.605,0,148.605,180.637,57.8039
