impl,dataset,platform,fft_size,batch_size,num_threads,h2d_ms,kernel_ms,d2h_ms,total_wall_ms,gflops,bandwidth_gbs
own_cpu,synthetic_strong,v100,1024,524288,1,0,17070.6,0,17070.6,1.5725,0.5032
mkl,synthetic_strong,v100,1024,524288,1,0,1517.27,0,1517.27,17.692,5.66145
own_cpu,synthetic_weak,v100,1024,32768,1,0,1064.8,0,1064.8,1.57562,0.504198
mkl,synthetic_weak,v100,1024,32768,1,0,94.5618,0,94.5618,17.7421,5.67746
own_cpu,synthetic_strong,v100,1024,524288,2,0,8517.94,0,8517.94,3.15141,1.00845
mkl,synthetic_strong,v100,1024,524288,2,0,774.172,0,774.172,34.6739,11.0956
own_cpu,synthetic_weak,v100,1024,65536,2,0,1064.88,0,1064.88,3.15099,1.00832
mkl,synthetic_weak,v100,1024,65536,2,0,97.7472,0,97.7472,34.3278,10.9849
own_cpu,synthetic_strong,v100,1024,524288,4,0,4272.1,0,4272.1,6.28346,2.01071
mkl,synthetic_strong,v100,1024,524288,4,0,413.077,0,413.077,64.9844,20.795
own_cpu,synthetic_weak,v100,1024,131072,4,0,1067.81,0,1067.81,6.2847,2.01111
mkl,synthetic_weak,v100,1024,131072,4,0,104.368,0,104.368,64.3001,20.576
own_cpu,synthetic_strong,v100,1024,524288,8,0,2166.93,0,2166.93,12.3878,3.9641
mkl,synthetic_strong,v100,1024,524288,8,0,235.294,0,235.294,114.085,36.5073
own_cpu,synthetic_weak,v100,1024,262144,8,0,1084.77,0,1084.77,12.373,3.95935
mkl,synthetic_weak,v100,1024,262144,8,0,118.25,0,118.25,113.504,36.3212
own_cpu,synthetic_strong,v100,1024,524288,16,0,1084.94,0,1084.94,24.742,7.91743
mkl,synthetic_strong,v100,1024,524288,16,0,149.23,0,149.23,179.88,57.5617
own_cpu,synthetic_weak,v100,1024,524288,16,0,1088.38,0,1088.38,24.6638,7.89242
mkl,synthetic_weak,v100,1024,524288,16,0,149.287,0,149.287,179.812,57.5398
